ProductID,ProductName,ProductGroupID,Price,Description,StockLevel,SKU,Manufacturer,WarrantyPeriod,Dimensions,Weight,Color,ReleaseDate,Discontinued
14,certainly,11,766.29,"Science hot better air. North question cut official star century remember. Forget country kind take trip rather evening.
Skill each debate there brother relationship best. Charge whom say teacher.",998,oxE-37787,"Zavala, Moore and Robinson",1 year,78x12x62 cm,5.78,White,2023-10-09,False
15,food,13,385.9,Share military professional Mrs region international but. Ground occur outside two south operation consider.,942,bQu-09094,Richardson Inc,6 months,51x84x64 cm,0.75,Red,2022-06-30,True
16,return,11,914.31,Little give almost require development project. Itself team stand out outside region summer budget.,317,bWV-62956,Cisneros-Baxter,1 year,24x44x7 cm,9.87,Black,2024-06-17,False
17,to,6,545.48,"So listen cover especially. Anyone wait which price can better environmental.
Vote project window who.",282,xIB-23761,"Wu, Hicks and Gibson",2 years,56x71x59 cm,5.09,Green,2023-10-09,True
18,girl,18,727.85,"Member how now. Win once amount know place artist.
Experience he because bring season. Near require space place day soldier determine. Buy American next court player.",532,Ktb-46588,Conner LLC,1 year,67x53x89 cm,4.41,Blue,2023-11-09,True
19,former,13,812.25,"Along perform card. Whole mouth music give court difficult feel for.
Girl control lot cell and per them. Garden lawyer set PM development but. Art crime himself also produce.",887,Spf-54132,Davis-Davis,6 months,64x4x62 cm,5.59,White,2023-09-30,True
20,car,18,942.28,"Enjoy interesting effort teacher human. School free music. Group always military. Condition others eight.
Fish focus field receive. Fill wrong civil article grow strategy. Help general ok else.",717,JqI-89227,Greene-Mcmahon,6 months,3x57x63 cm,7.37,Red,2022-12-13,False
21,next,10,709.19,"Money player it play student rise student laugh. Crime mention court chair. Ask already kid player but local low.
Center bring data green whole power play. Real consider official.",588,pmq-01988,Buck-Steele,2 years,11x87x10 cm,3.67,Black,2022-08-16,False
22,lead,2,345.43,Know call history laugh. Friend least rate behind oil court all. Right economic measure war strong throw condition.,28,HWc-82984,Jones-Johnson,1 year,11x33x85 cm,7.51,Blue,2022-09-02,False
23,information,8,102.59,Success knowledge send when third candidate improve. Land trouble which next whole color year. Really yourself could guy full then.,240,npC-33312,Dunn-Rasmussen,6 months,94x3x10 cm,6.41,Green,2023-06-20,False
24,despite,13,543.29,"Such family itself degree other military collection. Bank property a pick.
Fear season I generation risk attorney. Set center author.",777,DVS-58808,Mooney-Pierce,1 year,75x46x8 cm,8.98,Red,2023-02-03,False
25,most,16,841.3,"Day Congress so image one require. Computer me money way billion least.
Woman technology consider really others success. Range half blue population a eight. Energy which item travel doctor bag.",66,eaJ-09596,Contreras-Martinez,1 year,16x92x77 cm,5.86,Black,2024-01-09,False
26,receive,8,767.33,"Religious wonder day several well may. Country national either rather factor player south.
Note hand behavior. Guy yet near scene.",569,Gqw-34101,Thompson PLC,6 months,100x35x45 cm,6.22,White,2024-02-24,False
27,affect,13,203.31,"Certainly fire quickly building position. Step conference there clearly impact poor television. Much business democratic finally.
During affect day save house. Already outside easy.",961,cBA-61934,Cortez-King,2 years,42x90x65 cm,4.69,Blue,2022-07-23,False
28,record,19,692.81,"Rise now hard research. That white east hold.
Dark hair apply how glass such. Media protect edge yourself cause. In perhaps what organization new.",788,Fxy-46632,Baxter-Terrell,1 year,84x23x99 cm,0.8,Red,2023-07-06,False
29,must,13,423.32,"Including mean exist song actually. Leave listen near either continue security.
Tax nature network education boy establish.
Final wish rich today. Performance enter effect stock many.",146,xbU-44048,Baldwin-Collier,1 year,29x88x16 cm,0.2,Black,2022-10-25,False
30,issue,11,792.64,Century mission student tough. Authority list despite most. Choose work become approach deep lay while television.,686,Rek-00616,"Curtis, Blake and Morgan",1 year,82x70x31 cm,7.13,Black,2022-08-01,True
31,suddenly,2,811.18,"Throw majority lay occur price program throw. Story although task.
Country perhaps compare early. Skin class attack item others whom.
Pay oil run. I arm health miss many. Down fast surface every.",449,itG-11885,"Baldwin, Fox and Rasmussen",1 year,30x75x54 cm,8.0,Green,2023-12-21,True
32,might,8,443.23,Information growth yes I keep include. Class project factor better onto.,863,SGB-72437,"Douglas, Allen and Robinson",6 months,62x68x58 cm,6.69,White,2023-10-21,True
33,reveal,17,126.69,Third since possible just. Force senior administration apply discover town hold. Standard wind everything responsibility. Never hour future season talk sister end out.,291,zLW-52884,Fisher Group,2 years,93x42x55 cm,6.52,Red,2022-09-25,False
34,interview,14,596.16,Mention his him different to better. Those project we company. Pay good bar economy national necessary popular. Hot team real attention.,633,zxC-09512,"Martin, Duffy and Mcdowell",6 months,27x26x18 cm,5.12,White,2023-08-19,True
35,long,20,286.14,Need wait sense training fast. Send budget level own near. Key ever stuff loss within might. Card house push great.,198,ZUo-63348,Gonzalez-Mendoza,6 months,80x92x11 cm,8.53,Blue,2023-03-26,True
36,yet,5,57.18,"But avoid move whole describe person job. Mention education house blue.
Audience could recognize anyone blue stop meet. Change contain law past economic center world.",314,zbA-02234,Palmer PLC,6 months,56x52x41 cm,3.88,White,2022-08-23,False
37,material,3,660.84,"Job ball character sit front hand season. Form short event trade institution similar alone establish.
Relationship admit agree. Hour door responsibility heart vote rock ever.",773,PHT-30002,Chandler-Lyons,6 months,65x21x75 cm,5.16,Blue,2023-04-14,True
38,defense,14,616.71,"West almost commercial. Management white you dream than.
Plant up position water. Best town media cost federal state any. Care box recently consider.",702,qTh-82233,"Robinson, Campos and Wallace",1 year,27x19x26 cm,8.65,Black,2023-03-12,False
39,green,13,581.5,"Chair put wind worker same. Prevent natural sport position.
Often process whose million bit lay inside social.",2,foH-99041,James-Hebert,6 months,59x66x1 cm,5.86,White,2023-11-14,True
40,kid,16,544.74,Help time ahead account into far natural parent. Learn others look option receive.,972,MAy-89541,Butler-Fisher,1 year,82x54x53 cm,8.9,Green,2024-04-18,False
41,run,20,395.02,"Project smile movie international. Performance author firm low knowledge face.
Land brother whole. Community interesting event.",59,TvS-57293,Mcdaniel-Moore,2 years,44x19x67 cm,1.23,Red,2024-01-12,True
42,voice,4,144.76,"Space draw same memory top cell. Between civil join move.
Sound phone carry grow. Actually also lawyer body gun while part. Exist enter while market.",926,wqU-85690,Lewis LLC,2 years,56x30x15 cm,5.58,White,2023-08-07,False
43,worker,11,564.02,Particular true matter best material film rock. Professor feeling budget thus stage wrong. Partner assume environment represent.,594,gDk-39630,"Mejia, Rodriguez and Stokes",1 year,58x56x97 cm,7.33,Black,2024-01-07,False
44,nor,2,912.27,World true rich government camera. How phone election laugh against system. Call investment interview difficult worry child participant. A box statement radio interesting theory whether than.,556,jRT-41708,Williams and Sons,1 year,19x3x52 cm,1.87,Red,2023-03-19,True
45,everybody,16,696.2,"Way physical sometimes ball office ground state population. Base beautiful city red institution he.
Might land major although account human. Success none minute social section movie.",613,nlp-20040,"Wells, Poole and Payne",6 months,74x58x40 cm,1.26,Red,2022-10-12,False
46,medical,14,623.72,Want list and need pressure Republican. Throughout budget this evening gun hit common. Nice possible also.,206,uWx-18258,Gardner-Maldonado,1 year,43x79x81 cm,3.27,White,2022-11-17,True
47,just,4,879.75,"Pattern experience late from great drop front civil. Protect idea six let rest seem.
News north none event hand. All perhaps price series stuff give. Friend music quality.",248,Och-67662,Jackson and Sons,1 year,86x51x11 cm,8.15,Green,2023-12-30,True
48,herself,17,817.72,"His hour off. Develop national accept team ever.
Study old culture. Bad cultural enjoy either who moment. Amount line window lead market school.",944,nTX-32466,Ortiz-Martinez,6 months,46x49x63 cm,8.49,Red,2022-11-18,False
49,hold,17,239.33,Everybody generation subject anyone onto. Likely audience administration by among wife bag. Decision large movement amount special.,884,UBW-13485,Marsh and Sons,1 year,85x45x48 cm,5.08,Red,2023-06-24,True
50,pretty,2,44.07,"Gun she strong lead offer kid another. Short week ready maybe if focus size. Buy weight body skill local.
Include decade side.",348,GVx-14027,"Walker, Harris and Small",6 months,13x38x95 cm,3.43,Black,2023-06-15,True
51,executive,13,633.54,"Allow according situation kitchen. Itself interesting heavy kid.
Agree lead trip thus on rock before. Real boy age federal.",67,usj-47698,Jackson-Hansen,2 years,59x24x81 cm,1.94,White,2022-11-15,True
52,contain,3,36.14,"Miss consumer would pay whole green effort. Beat high maintain prepare during rock education enjoy. Then stuff card prevent recent none.
Thousand approach miss simply. Dark agency simple but task.",760,nUR-86308,"Peterson, Ball and Barry",6 months,18x55x92 cm,1.84,White,2023-04-15,False
53,these,5,297.4,"Final trip set member. Everything brother radio case medical page charge.
Unit worry culture. Car plan war end class painting.
Use agent food hundred down represent catch. Floor item image.",199,vEv-86889,"Brown, Rodriguez and Jackson",2 years,38x12x84 cm,7.14,White,2024-06-08,False
54,western,6,634.06,"Eat especially let third marriage have leg. Common development agent run. Realize professor wait performance.
Draw boy next. House difference positive financial attorney fast idea.",700,YEo-29281,Vasquez-Flores,2 years,21x100x52 cm,9.29,Green,2023-09-05,True
55,hand,11,177.22,"Drop next push nature get price product skin. Live eat even yard plan camera price firm. Art approach fly blue gas thousand.
Study here capital chair ability heavy.",765,zXX-98779,Smith-Miles,6 months,91x29x21 cm,6.3,Red,2022-11-05,True
56,ten,16,395.26,"Spend assume recent structure without student maybe.
Reach quality Congress home challenge.
Develop material politics then.",7,Vkk-61703,Long-Hayes,2 years,51x30x32 cm,2.84,Black,2023-01-17,True
57,quality,11,872.43,"Describe day baby instead evidence. Contain some remain news. Range despite market loss.
First account stay check. May use gas may.",798,TNt-14819,"Lee, Harrison and Brown",1 year,31x94x87 cm,3.75,Green,2023-01-24,False
58,international,13,426.95,"Speech people let environment activity allow all then. Thing news economy. Believe back how scene key national artist.
Oil present various. Need star miss law enjoy third.",840,fGa-54448,Ross-Brady,1 year,84x77x96 cm,3.55,Blue,2024-06-04,False
59,respond,15,615.15,Throw attack mouth situation bank choice item. Individual inside sense present such. Person happen daughter soldier pressure position.,771,rqe-17585,Richardson LLC,1 year,36x36x94 cm,0.56,Green,2022-11-29,False
60,structure,20,910.53,Challenge upon trial material. Beautiful energy space audience cause. Movie fish like report team true.,530,Hsx-04319,Martinez and Sons,2 years,58x76x60 cm,4.15,Black,2022-09-08,False
61,forward,11,386.6,"Responsibility music letter trade art trip check establish.
Can officer where almost fight western. Father culture population whose mention end simple. However TV third approach for our.",225,VDE-79013,Lee and Sons,6 months,47x24x15 cm,3.68,Green,2024-03-07,True
62,region,12,682.56,Address high recently church reveal century clear. Support less land rate yet.,922,UBp-60488,Smith Inc,2 years,44x96x89 cm,2.66,Blue,2023-09-09,False
63,condition,18,173.34,"Church effect their home prepare into. Positive information material small development. Child season its drive.
Blood western later statement point strategy game. Foot light board.",480,MxJ-39564,Stokes-Vasquez,1 year,90x45x73 cm,2.13,Blue,2023-02-10,False
64,message,17,855.67,"Help now ago industry be difference simple. Official ok memory personal blue young debate.
East season serious own best. Join report quite young provide. Full certain whether work.",732,qeU-23005,Joseph LLC,6 months,4x65x94 cm,4.39,Red,2022-10-27,False
65,account,9,428.48,"Travel matter exactly few cultural there song. Source why religious yeah.
May reduce like various walk buy. The box deep all officer table.",121,fHg-72714,Miller and Sons,6 months,8x95x18 cm,9.22,White,2023-07-12,False
66,lead,1,440.87,"Clearly style since head step hold. Budget we probably religious.
Though beautiful candidate hold.
You cost give trip hope mother only. Enter subject window easy police real.",771,jgW-36348,"Marshall, Martin and White",2 years,57x30x6 cm,6.65,Black,2024-05-23,True
67,write,4,690.69,"Where traditional standard general surface. But pay think themselves attorney before air. Try paper center fly dog admit.
Resource miss ever sing on. Remember reflect explain change or realize.",893,dWa-79048,Jensen PLC,1 year,87x32x7 cm,9.09,Black,2024-06-16,False
68,once,16,868.4,Hot hour improve clearly argue physical stop read. Interesting wear knowledge design course up although. Subject production response during hope factor instead.,463,bhe-49896,Rodriguez Group,6 months,95x43x12 cm,9.12,Red,2024-05-12,False
69,near,10,422.5,"Reality type hold pick. Product best scene allow.
Join station environment majority. Stock such by little.",425,AxT-87153,"Nelson, Payne and Bryant",1 year,45x9x11 cm,4.42,Green,2023-10-08,False
70,avoid,13,601.72,"Husband people million that green contain. Near start production bed year.
Add president base which way score campaign.",351,Dif-18422,"Castro, Williams and Charles",1 year,62x76x94 cm,3.67,Red,2023-02-06,True
71,consider,14,430.47,Example despite share for head director range. Whole cell speech summer number free. Science hotel player.,877,erc-60237,"Howe, Brewer and Liu",2 years,83x31x32 cm,2.94,Blue,2023-03-16,True
72,future,4,712.89,"Bank run technology well.
Majority woman grow. Stand situation allow fast.
The pattern before campaign market rate. Cup network sign pretty stay. Sound serious author.",576,Uvg-45383,Estrada PLC,2 years,58x54x51 cm,9.53,Black,2023-05-01,False
73,deep,11,504.62,"Development relate everyone mean economy major throughout information. Public choice item. Sell thus model help.
Product respond score.",244,DPH-33248,"Franklin, Williams and Mitchell",2 years,75x91x90 cm,4.89,Blue,2022-12-07,False
74,human,8,276.68,Probably mother college my director their whose. Cell rule care important share computer. Quality shake ball film thus only probably.,128,FQm-94182,"Casey, Manning and Vazquez",1 year,99x35x41 cm,2.4,White,2023-09-11,True
75,those,16,998.02,"Beautiful before market similar small. Stop focus generation perhaps behavior everything.
Positive student business whether particularly resource. Money six collection first.",578,TjA-88300,Allen LLC,6 months,68x8x17 cm,1.61,Green,2024-04-11,True
76,identify,14,658.51,"Pass language keep car. Five note lead expect campaign relationship.
Street fire point drop man serious assume decade. Special trial his. We main edge.",871,PkB-33201,"Stephenson, Williams and Sutton",6 months,81x21x20 cm,7.24,Green,2023-06-05,True
77,stand,16,894.45,High herself record agreement. Song Congress guy author security safe. Point push deep.,846,KBo-76650,Reid Ltd,1 year,35x56x46 cm,5.73,White,2022-07-19,False
78,executive,3,858.53,"Particularly side on my beyond it. Moment eight Republican quickly learn.
Sign peace school describe. Begin example sing member remain whom. Last bit stage pick itself.",502,azB-76141,"Nelson, Russell and Fernandez",1 year,71x23x15 cm,2.56,Black,2024-04-12,False
79,old,2,685.21,"Personal bring dark. Draw out listen enjoy seem natural. Money rate such good structure stay.
Result task old suggest. People interest could TV dog whether thousand. Television few former adult.",602,VGE-72374,Adkins Ltd,2 years,5x100x69 cm,5.36,Green,2023-07-26,True
80,current,16,31.05,"None consider ask dog key small share. Friend join lawyer true may. Interesting those argue similar.
Night treatment court water everyone recently. Four author arrive.",525,edg-58366,"Carson, Best and Sanchez",6 months,78x37x47 cm,1.86,Green,2023-12-09,False
81,fact,3,374.79,Offer whatever sort where hand matter cell. Act official support often mouth and. Fund public pattern event social officer animal. Soldier out big each.,76,HLN-50477,"Nguyen, Carter and Collins",2 years,40x18x99 cm,1.34,Blue,2024-01-08,True
82,yourself,10,661.31,"Her listen early nature time current. Interesting husband available next quickly. Social catch write party both change capital.
Me sing might old west wind. Mrs contain democratic matter whole.",898,BsY-09155,Neal Group,6 months,81x77x80 cm,4.49,White,2024-02-16,True
83,foreign,16,166.29,"Man road may piece small affect. Term often myself that pull weight. Entire likely assume south power by.
Travel protect feeling.",954,lOE-06421,Johnson-Stevens,2 years,64x84x1 cm,3.87,White,2022-12-06,True
84,act,20,408.88,"Wonder join lawyer million. Easy black performance into debate.
Fund myself development so. Well establish partner discuss.
Would new top house large respond phone system. What pick turn agent.",789,PQg-49917,Gonzalez PLC,6 months,41x32x16 cm,6.57,White,2023-11-02,True
85,also,10,252.96,"Good sense case war already. Side range nation fly yourself.
Into draw school call movement. Occur democratic together image political kid official. Wonder soon center born ask home billion against.",258,cMP-69223,"Brown, Brooks and Macdonald",1 year,68x84x81 cm,2.47,Green,2023-03-18,False
86,senior,10,367.42,"Without hit consider economic discuss money mouth. Side them to. New dinner opportunity food method.
Agency stay never. Suffer stuff third time how lot. Anyone or carry.",847,GtP-59747,"Chen, Osborn and Nelson",6 months,64x9x76 cm,9.11,White,2024-04-12,True
87,believe,15,441.02,"End challenge use manager. Send national better talk why.
Get simply there stand. House policy front ask member stock almost.
Congress police candidate month drug successful.",147,qjP-27339,Dennis LLC,6 months,69x92x29 cm,2.2,Green,2022-12-26,False
88,region,13,199.78,"Someone end type. Travel week institution reduce deep rate. Ready like break.
Fine future property second kitchen parent. Drive degree drug list knowledge use. Hot door certain accept speech both.",124,ypS-09789,Jones-Hunt,6 months,96x24x72 cm,5.88,Black,2023-10-07,False
89,those,19,650.49,"Why factor ground assume discussion now day. Inside notice case break practice whose.
Minute sure hold. Way religious through wall.",769,NZe-45901,"Frost, Gutierrez and Wiggins",2 years,11x53x56 cm,2.36,Blue,2023-08-06,True
90,anything,18,97.75,"President father quite another surface speak material bar. Chair cell return real billion tend family. Mouth town want site debate enough.
Magazine reflect its.",885,lak-12702,"Reed, Gonzalez and Davis",6 months,13x4x95 cm,7.6,Green,2023-08-18,True
91,no,16,214.67,"Marriage join miss tell. Kid different town free eight suggest fight change.
Image general notice build knowledge meet many.",426,EAh-67723,Tyler Group,6 months,56x67x77 cm,9.52,White,2022-09-06,False
92,manager,2,263.87,"Student training we chance close tend himself. Official brother day order not leg feeling course. News good style religious watch.
Most room stop. While lay law amount usually technology include arm.",169,PBK-79113,"Collins, Young and Torres",6 months,48x5x60 cm,1.42,Green,2023-10-29,True
93,cut,7,315.51,Cup newspaper sing store hospital. Size hour program deep deep in. Natural everything military minute sister level space. Up same eat six.,116,drh-60121,Smith LLC,6 months,48x26x50 cm,9.99,Red,2023-09-01,True
94,window,7,232.97,"Radio message paper high. Author green improve until.
Other conference pressure brother. Serve than sport over. Drive which including according.
Father push study section people.",518,zMa-77491,"Rhodes, White and Evans",6 months,13x58x37 cm,2.05,Green,2023-07-11,True
95,lot,2,282.82,"Ago group American economic and.
Big themselves new report north tend improve. Meet you until.",406,xKb-78987,Bryant Ltd,1 year,31x94x75 cm,8.21,Blue,2023-06-22,True
96,weight,5,449.57,"Only room rate record American find peace. Democrat good than size forget support. Green yourself check ahead your yourself.
Likely wonder serious because. Group reflect small data.",759,Syv-23943,"Myers, Jimenez and Ellis",1 year,92x74x81 cm,0.11,White,2024-06-09,True
97,between,10,837.67,"Might star activity. Always have commercial each. Store something newspaper include key fish say.
Leg pattern me foreign. Or gas blue six five operation arm.
His various country thing.",586,Swq-05213,"Baker, Webster and Smith",6 months,95x35x44 cm,7.6,Blue,2022-10-07,False
98,miss,3,31.4,Want may nor air Mr go. Write true forget finally. Summer discuss just glass car standard image.,761,WNn-18894,"Gordon, Hill and Alvarez",2 years,2x30x11 cm,6.11,Blue,2023-11-04,True
99,thus,18,275.51,"Scene top from gas true rock. Sea wish seven other quite again. Each personal true heavy almost here hot.
Generation I kind popular. Hard example skill. Until side design deal candidate son.",323,XwR-00459,Myers-Lopez,1 year,70x56x33 cm,1.58,White,2024-04-17,True
100,employee,13,143.19,"Who tonight war street win show. Similar various fast allow note. Edge method cover.
Itself sport why bed decade wife child community. Ability travel strategy face.",600,UMs-29279,Gonzalez LLC,1 year,7x10x53 cm,9.55,Black,2023-08-20,False
